ticker,quarter,date,positive,negative,neutral,sentiment_score,sector,q,risk_count,positive_count,risk_ratio
MRNA,2020-Q1,"May 9, 2020, 8:30 p.m. ET",0.02616637386381626,0.02784154936671257,0.9459920525550842,-0.001675175502896309,Healthcare,2020-Q1,22,44,0.3283582089552239
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",0.14075466990470886,0.011109570972621441,0.848135769367218,0.12964509893208742,Healthcare,2021-Q1,35,25,0.5737704918032787
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",0.2375384420156479,0.012087523937225342,0.7503740191459656,0.22545091807842255,Tech,2020-Q2,33,61,0.3473684210526316
META,2020-Q4,"Jan 27, 2021, 5:00 p.m. ET",0.09929036349058151,0.014725789427757263,0.8859838247299194,0.08456457406282425,Tech,2020-Q4,35,47,0.42168674698795183
META,2020-Q4,"Jan 27, 2021, 5:00 p.m. ET",0.09929036349058151,0.014725789427757263,0.8859838247299194,0.08456457406282425,Tech,2020-Q4,35,47,0.42168674698795183
F,2019-Q4,"Feb 4, 2020, 5:00 p.m. ET",0.38692185282707214,0.009179184213280678,0.6038990020751953,0.37774266861379147,Auto,2019-Q4,53,58,0.4732142857142857
F,2019-Q4,"Feb 4, 2020, 5:00 p.m. ET",0.38692185282707214,0.009179184213280678,0.6038990020751953,0.37774266861379147,Auto,2019-Q4,53,58,0.4732142857142857
TGT,2020-Q4,"Mar 02, 2021, 9:00 a.m. ET",0.09841155260801315,0.014091943390667439,0.8874964714050293,0.08431960921734571,Retail,2020-Q4,49,164,0.22897196261682243
